,date,fog,rain,meanwdird,meanwindspdm,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,year,month,day,dayofweek
16,1997-01-17,0,0,13,11.0,14.0,3.0,1024.0,72.0,27.0,22.0,8.0,8.0,-3.0,1026.0,1023.0,0.0,1997,1,17,4
17,1997-01-18,0,0,326,13.0,19.0,-1.0,1021.0,42.0,14.0,24.0,14.0,6.0,-5.0,1023.0,1019.0,0.0,1997,1,18,5
18,1997-01-19,0,0,94,11.0,16.0,3.0,1018.0,88.0,18.0,22.0,11.0,10.0,-8.0,1020.0,1016.0,0.0,1997,1,19,6
19,1997-01-20,0,1,210,13.0,13.0,11.0,1021.0,94.0,77.0,16.0,11.0,13.0,8.0,1022.0,1020.0,0.0,1997,1,20,0
20,1997-01-21,0,1,50,13.0,11.0,9.0,1022.0,94.0,72.0,14.0,9.0,11.0,7.0,1024.0,1021.0,0.0,1997,1,21,1
21,1997-01-22,0,1,59,8.0,12.0,12.0,1020.0,100.0,88.0,14.0,11.0,13.0,10.0,1022.0,1019.0,0.0,1997,1,22,2
22,1997-01-23,0,1,186,13.0,14.0,13.0,1020.0,94.0,82.0,16.0,13.0,14.0,12.0,1022.0,1019.0,0.0,1997,1,23,3
23,1997-01-24,0,0,239,10.0,14.0,12.0,1021.0,94.0,72.0,17.0,13.0,14.0,10.0,1023.0,1019.0,0.0,1997,1,24,4
24,1997-01-25,0,1,98,11.0,13.0,13.0,1018.0,100.0,88.0,14.0,13.0,14.0,12.0,1021.0,1016.0,0.0,1997,1,25,5
25,1997-01-26,1,1,206,10.0,14.0,14.0,1017.0,100.0,88.0,16.0,14.0,15.0,13.0,1020.0,1015.0,0.0,1997,1,26,6
26,1997-01-27,0,0,245,8.0,14.0,12.0,1024.0,100.0,68.0,18.0,12.0,13.0,11.0,1025.0,1023.0,0.0,1997,1,27,0
27,1997-01-28,0,0,200,6.0,17.0,11.0,1022.0,94.0,35.0,22.0,13.0,13.0,6.0,1024.0,1020.0,0.0,1997,1,28,1
28,1997-01-29,0,0,169,10.0,21.0,5.0,1020.0,52.0,28.0,25.0,17.0,8.0,1.0,1022.0,1019.0,0.0,1997,1,29,2
29,1997-01-30,0,0,22,11.0,17.0,4.0,1021.0,72.0,21.0,24.0,10.0,10.0,0.0,1024.0,1019.0,0.0,1997,1,30,3
30,1997-01-31,0,0,211,13.0,17.0,7.0,1019.0,94.0,33.0,22.0,12.0,12.0,1.0,1020.0,1018.0,0.0,1997,1,31,4
31,1997-02-01,0,0,220,5.0,13.0,9.0,1018.0,93.0,63.0,17.0,9.0,11.0,8.0,1020.0,1017.0,0.0,1997,2,1,5
32,1997-02-02,0,0,203,10.0,16.0,-6.0,1020.0,26.0,19.0,18.0,12.0,-5.0,-6.0,1021.0,1018.0,0.0,1997,2,2,6
33,1997-02-03,0,0,213,10.0,16.0,5.0,1020.0,77.0,38.0,19.0,12.0,11.0,0.0,1022.0,1018.0,0.0,1997,2,3,0
34,1997-02-04,0,0,217,5.0,13.0,11.0,1017.0,88.0,63.0,18.0,8.0,11.0,10.0,1020.0,1015.0,0.0,1997,2,4,1
35,1997-02-05,0,0,263,11.0,15.0,5.0,1016.0,82.0,30.0,20.0,10.0,9.0,-2.0,1017.0,1015.0,0.0,1997,2,5,2
36,1997-02-06,0,0,214,6.0,14.0,8.0,1021.0,82.0,37.0,19.0,10.0,13.0,4.0,1022.0,1020.0,0.0,1997,2,6,3
37,1997-02-07,0,0,182,11.0,14.0,2.0,1021.0,72.0,25.0,19.0,11.0,8.0,-5.0,1023.0,1020.0,0.0,1997,2,7,4
